tipo_serv;numos;datasol;dataven;datater_trab;TD;TE;equipe;dthaps_ini;dthaps_fim_ajustado;inicio_turno;fim_turno;dth_chegada_estimada;dth_final_estimada;fim_turno_estimado;eta_source;base_lon;base_lat;tipo_base;abrangencia;defeito_falha;localidade;localizacao;nox;noy;dh_inicio;dh_alocacao;dh_chegada;dh_final;tp;td;te;ano;mes;eusd;eusd_fio_b;latitude;longitude;dt_ref;prioridade;violacao;tipserv;codserv;data_sol;data_venc;num_cdc;datasaida;datainitrab;datatertrab;job_id_vroom;distancia_vroom;duracao_vroom
comercial;95045815;2023-02-14 04:07:01;2023-02-15 08:00:00;2023-02-14 10:41:57;1,75;2,07;PVOSN66;2023-02-14 06:00:59;2023-02-14 16:40:51;2023-02-14 06:00:00;2023-02-14 17:00:00;2023-02-14 07:08:46;2023-02-14 07:10:50;2023-02-14 07:59:23;VROOM;-63,885464691387746;-8,738508095069408;;;;;;;;;;;;;1,75;2,07;2023;2;74,06;74,06;-8,813213;-63,88164;2023-02-14;1,8607378037238864;0,0;C;3,0;2023-02-14 04:07:01;2023-02-15 08:00:00;67199;2023-02-14 10:38:08;2023-02-14 10:39:53;2023-02-14 10:41:57;95045815;;3942
comercial;95045516;2023-02-14 03:15:34;2023-02-15 08:00:00;2023-02-14 08:43:13;19,97;1,48;PVOSN66;2023-02-14 06:00:59;2023-02-14 16:40:51;2023-02-14 06:00:00;2023-02-14 17:00:00;2023-02-14 07:42:18;2023-02-14 07:43:46;2023-02-14 07:59:23;VROOM;-63,885464691387746;-8,738508095069408;;;;;;;;;;;;;19,97;1,48;2023;2;23,0;23,0;-8,777203;-63,883373;2023-02-14;1,835056926913189;0,0;C;3,0;2023-02-14 03:15:34;2023-02-15 08:00:00;2229373;2023-02-14 08:21:46;2023-02-14 08:41:44;2023-02-14 08:43:13;950455161;;3942
comercial;95045466;2023-02-14 03:15:34;2023-02-15 08:00:00;2023-02-14 10:33:37;2,05;3,02;PVOSN66;2023-02-14 06:00:59;2023-02-14 16:40:51;2023-02-14 06:00:00;2023-02-14 17:00:00;2023-02-14 07:11:12;2023-02-14 07:14:13;2023-02-14 07:59:23;VROOM;-63,885464691387746;-8,738508095069408;;;;;;;;;;;;;2,05;3,02;2023;2;16,67;16,67;-8,813611;-63,881919;2023-02-14;1,835056926913189;0,0;C;3,0;2023-02-14 03:15:34;2023-02-15 08:00:00;1068646;2023-02-14 10:28:33;2023-02-14 10:30:36;2023-02-14 10:33:37;95045466;;3942
comercial;95045463;2023-02-14 03:15:34;2023-02-15 08:00:00;2023-02-14 09:22:44;3,08;6,27;PVOSN66;2023-02-14 06:00:59;2023-02-14 16:40:51;2023-02-14 06:00:00;2023-02-14 17:00:00;2023-02-14 07:23:42;2023-02-14 07:29:58;2023-02-14 07:59:23;VROOM;-63,885464691387746;-8,738508095069408;;;;;;;;;;;;;3,08;6,27;2023;2;62,68;62,68;-8,801219;-63,879542;2023-02-14;1,835056926913189;0,0;C;3,0;2023-02-14 03:15:34;2023-02-15 08:00:00;61628;2023-02-14 09:13:23;2023-02-14 09:16:28;2023-02-14 09:22:44;95045463;;3942
comercial;95045522;2023-02-14 03:15:34;2023-02-15 08:00:00;2023-02-14 08:50:05;4,8;1,08;PVOSN66;2023-02-14 06:00:59;2023-02-14 16:40:51;2023-02-14 06:00:00;2023-02-14 17:00:00;2023-02-14 07:39:22;2023-02-14 07:40:26;2023-02-14 07:59:23;VROOM;-63,885464691387746;-8,738508095069408;;;;;;;;;;;;;4,8;1,08;2023;2;83,52;83,52;-8,777839;-63,878916;2023-02-14;1,835056926913189;0,0;C;3,0;2023-02-14 03:15:34;2023-02-15 08:00:00;1267667;2023-02-14 08:44:12;2023-02-14 08:49:00;2023-02-14 08:50:05;95045522;;3942
comercial;95045463;2023-02-14 03:15:34;2023-02-15 08:00:00;2023-02-14 09:22:44;3,08;6,27;PVOSN66;2023-02-14 06:00:59;2023-02-14 16:40:51;2023-02-14 06:00:00;2023-02-14 17:00:00;2023-02-14 07:17:26;2023-02-14 07:23:42;2023-02-14 07:59:23;VROOM;-63,885464691387746;-8,738508095069408;;;;;;;;;;;;;3,08;6,27;2023;2;62,68;62,68;-8,801219;-63,879542;2023-02-14;1,835056926913189;0,0;C;3,0;2023-02-14 03:15:34;2023-02-15 08:00:00;61628;2023-02-14 09:13:23;2023-02-14 09:16:28;2023-02-14 09:22:44;950454631;;3942
comercial;95045522;2023-02-14 03:15:34;2023-02-15 08:00:00;2023-02-14 08:50:05;4,8;1,08;PVOSN66;2023-02-14 06:00:59;2023-02-14 16:40:51;2023-02-14 06:00:00;2023-02-14 17:00:00;2023-02-14 07:38:18;2023-02-14 07:39:22;2023-02-14 07:59:23;VROOM;-63,885464691387746;-8,738508095069408;;;;;;;;;;;;;4,8;1,08;2023;2;83,52;83,52;-8,777839;-63,878916;2023-02-14;1,835056926913189;0,0;C;3,0;2023-02-14 03:15:34;2023-02-15 08:00:00;1267667;2023-02-14 08:44:12;2023-02-14 08:49:00;2023-02-14 08:50:05;950455221;;3942
comercial;95045543;2023-02-14 03:15:34;2023-02-15 08:00:00;2023-02-14 08:59:07;4,72;3,02;PVOSN66;2023-02-14 06:00:59;2023-02-14 16:40:51;2023-02-14 06:00:00;2023-02-14 17:00:00;2023-02-14 07:03:03;2023-02-14 07:06:04;2023-02-14 07:59:23;VROOM;-63,885464691387746;-8,738508095069408;;;;;;;;;;;;;4,72;3,02;2023;2;108,94;108,94;-8,80422;-63,873989;2023-02-14;1,835056926913189;0,0;C;3,0;2023-02-14 03:15:34;2023-02-15 08:00:00;2043563;2023-02-14 08:51:23;2023-02-14 08:56:06;2023-02-14 08:59:07;95045543;;3942
comercial;95045535;2023-02-14 03:15:34;2023-02-15 08:00:00;2023-02-14 10:56:11;6,85;1,87;PVOSN66;2023-02-14 06:00:59;2023-02-14 16:40:51;2023-02-14 06:00:00;2023-02-14 17:00:00;2023-02-14 06:44:52;2023-02-14 06:46:44;2023-02-14 07:59:23;VROOM;-63,885464691387746;-8,738508095069408;;;;;;;;;;;;;6,85;1,87;2023;2;21,23;21,23;-8,769183;-63,806264;2023-02-14;1,835056926913189;0,0;C;3,0;2023-02-14 03:15:34;2023-02-15 08:00:00;2193763;2023-02-14 10:47:28;2023-02-14 10:54:19;2023-02-14 10:56:11;950455351;;3942
comercial;95045512;2023-02-14 03:15:34;2023-02-15 08:00:00;2023-02-14 09:11:54;11,52;8,85;PVOSN66;2023-02-14 06:00:59;2023-02-14 16:40:51;2023-02-14 06:00:00;2023-02-14 17:00:00;2023-02-14 06:05:44;2023-02-14 06:14:35;2023-02-14 07:59:23;VROOM;-63,885464691387746;-8,738508095069408;;;;;;;;;;;;;11,52;8,85;2023;2;118,06;;-8,720922;-63,868083;2023-02-14;1,835056926913189;0,0;C;3,0;2023-02-14 03:15:34;2023-02-15 08:00:00;1171591;2023-02-14 08:51:32;2023-02-14 09:03:03;2023-02-14 09:11:54;95045512;;3942
